success ; initial_sync_agreement ; final_sync_agreement ; i_amail_sync_agreement ; f_amail_sync_agreement ;initial_diac_agreement_1 ; final_diac_agreement_1 ; e_count_1 ; g_count_1 ; l_ini_sync_1 ; i_cover_1 ; l_fin_sync_1 ; f_cover_1 ; initial_diac_agreement_2 ; final_diac_agreement_2 ; e_count_2 ; g_count_2 ; l_ini_sync_2 ; i_cover_2 ; l_fin_sync_2 ; f_cover_2 ; strategy ; domain ; threshold ; abui_t ; iterations ; nb_examples ; nb_concerned ; concerned_rt ; redundancy ; exch_ratio ; nb_overlap ; nb_hyponym ; nb_synonym ; nb_homonym ; i_total ; i_self ; i_overlap ; i_hypohyper ; i_syn ; i_hom ; i_blind ; i_un ; f_total ; f_self ; f_overlap ; f_hypohyper ; f_syn ; f_hom ; f_blind ; f_un ; i_total_1 ; i_self_1 ; i_overlap_1 ; i_hypohyper_1 ; i_syn_1 ; i_hom_1 ; i_blind_1 ; i_un_1 ; f_total_1 ; f_self_1 ; f_overlap_1 ; f_hypohyper_1 ; f_syn_1 ; f_hom_1 ; f_blind_1 ; f_un_1 ; i_total_2 ; i_self_2 ; i_overlap_2 ; i_hypohyper_2 ; i_syn_2 ; i_hom_2 ; i_blind_2 ; i_un_2 ; f_total_2 ; f_self_2 ; f_overlap_2 ; f_hypohyper_2 ; f_syn_2 ; f_hom_2 ; f_blind_2 ; f_un_2 ; initial concepts ; expected concepts ; observed concepts ; shared_ft 
1 ; 0.3163265306122449 ; 0.6428571428571429 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 0 ; 21 ; 0.32653061224489793 ; 0.9591836734693877 ; 0.6862745098039216 ; 0.6428571428571429 ; 1.0 ; 1.0 ; 2 ; 12 ; 0.30612244897959184 ; 0.9795918367346939 ; 0.6122448979591837 ; 0.6428571428571429 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.02040816326530612 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 2 ; 7
1 ; 0.3469387755102041 ; 0.6020408163265306 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 0 ; 15 ; 0.3469387755102041 ; 0.9489795918367347 ; 0.6666666666666666 ; 0.6020408163265306 ; 1.0 ; 1.0 ; 2 ; 9 ; 0.3469387755102041 ; 0.9693877551020408 ; 0.5510204081632653 ; 0.6020408163265306 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.02040816326530612 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 2 ; 7
1 ; 0.29591836734693877 ; 0.6632653061224489 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 2 ; 11 ; 0.32653061224489793 ; 0.9591836734693877 ; 0.673469387755102 ; 0.6632653061224489 ; 1.0 ; 1.0 ; 0 ; 15 ; 0.2653061224489796 ; 0.9489795918367347 ; 0.6666666666666666 ; 0.6632653061224489 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.02040816326530612 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 2 ; 7
1 ; 0.2755102040816326 ; 0.8673469387755102 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 6 ; 35 ; 0.2653061224489796 ; 0.9795918367346939 ; 0.8301886792452831 ; 0.9285714285714286 ; 1.0 ; 1.0 ; 4 ; 40 ; 0.2857142857142857 ; 0.9693877551020408 ; 0.9090909090909091 ; 0.9387755102040817 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.10204081632653061 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 4 ; 3 ; 7
1 ; 0.336734693877551 ; 0.9387755102040817 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 8 ; 17 ; 0.32653061224489793 ; 0.9693877551020408 ; 0.9807692307692307 ; 0.9693877551020408 ; 1.0 ; 1.0 ; 3 ; 20 ; 0.3469387755102041 ; 0.9795918367346939 ; 0.8947368421052632 ; 0.9693877551020408 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.11224489795918367 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 4 ; 3 ; 7
1 ; 0.2857142857142857 ; 0.8979591836734694 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 2 ; 15 ; 0.24489795918367346 ; 0.9693877551020408 ; 0.8163265306122449 ; 0.9795918367346939 ; 1.0 ; 1.0 ; 0 ; 24 ; 0.32653061224489793 ; 0.9897959183673469 ; 0.9411764705882353 ; 0.9795918367346939 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.02040816326530612 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 3 ; 7
1 ; 0.3469387755102041 ; 0.9081632653061225 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 4 ; 15 ; 0.3469387755102041 ; 0.9591836734693877 ; 0.8571428571428571 ; 0.9897959183673469 ; 1.0 ; 1.0 ; 0 ; 18 ; 0.3469387755102041 ; 0.9591836734693877 ; 0.9245283018867925 ; 0.9591836734693877 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.04081632653061224 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 3 ; 7
1 ; 0.3163265306122449 ; 0.826530612244898 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 0 ; 18 ; 0.32653061224489793 ; 0.9489795918367347 ; 0.8979591836734694 ; 0.9387755102040817 ; 1.0 ; 1.0 ; 0 ; 12 ; 0.30612244897959184 ; 0.9591836734693877 ; 0.7551020408163265 ; 0.9387755102040817 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.0 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 3 ; 7
1 ; 0.30612244897959184 ; 0.673469387755102 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 3 ; 25 ; 0.32653061224489793 ; 0.9795918367346939 ; 0.6730769230769231 ; 0.673469387755102 ; 1.0 ; 1.0 ; 4 ; 13 ; 0.2857142857142857 ; 1.0 ; 0.6923076923076923 ; 0.673469387755102 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.061224489795918366 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 4 ; 2 ; 7
1 ; 0.24489795918367346 ; 0.8979591836734694 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 2 ; 27 ; 0.2653061224489796 ; 0.9489795918367347 ; 0.9423076923076923 ; 0.9387755102040817 ; 1.0 ; 1.0 ; 4 ; 28 ; 0.22448979591836735 ; 0.9693877551020408 ; 0.8235294117647058 ; 0.9387755102040817 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.05102040816326531 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 3 ; 7
