"success "," initial_sync_agreement "," final_sync_agreement "," i_amail_sync_agreement "," f_amail_sync_agreement ","initial_diac_agreement_1 "," final_diac_agreement_1 "," e_count_1 "," g_count_1 "," l_ini_sync_1 "," i_cover_1 "," l_fin_sync_1 "," f_cover_1 "," initial_diac_agreement_2 "," final_diac_agreement_2 "," e_count_2 "," g_count_2 "," l_ini_sync_2 "," i_cover_2 "," l_fin_sync_2 "," f_cover_2 "," strategy "," domain "," threshold "," abui_t "," iterations "," nb_examples "," nb_concerned "," concerned_rt "," redundancy "," exch_ratio "," nb_overlap "," nb_hyponym "," nb_synonym "," nb_homonym "," i_total "," i_self "," i_overlap "," i_hypohyper "," i_syn "," i_hom "," i_blind "," i_un "," f_total "," f_self "," f_overlap "," f_hypohyper "," f_syn "," f_hom "," f_blind "," f_un "," i_total_1 "," i_self_1 "," i_overlap_1 "," i_hypohyper_1 "," i_syn_1 "," i_hom_1 "," i_blind_1 "," i_un_1 "," f_total_1 "," f_self_1 "," f_overlap_1 "," f_hypohyper_1 "," f_syn_1 "," f_hom_1 "," f_blind_1 "," f_un_1 "," i_total_2 "," i_self_2 "," i_overlap_2 "," i_hypohyper_2 "," i_syn_2 "," i_hom_2 "," i_blind_2 "," i_un_2 "," f_total_2 "," f_self_2 "," f_overlap_2 "," f_hypohyper_2 "," f_syn_2 "," f_hom_2 "," f_blind_2 "," f_un_2 "," initial concepts "," expected concepts "," observed concepts "," ft_number "," m_sort_size "," sd_sort_size "," m_id_size "," sd_id_size "," m_gen_size "," sd_gen_size "," shared_ft "," dimensions",,
1," 0.32653061224489793 "," 0.8061224489795918 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",9,66," 0.3877551020408163 "," 0.9183673469387755 "," 0.8363636363636363 "," 0.8979591836734694 "," 1.0 "," 1.0 ",6,41," 0.2653061224489796 "," 0.9897959183673469 "," 0.7241379310344828 "," 0.8979591836734694 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.15306122448979592 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,4,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.29591836734693877 "," 0.9489795918367347 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",13,22," 0.32653061224489793 "," 0.9591836734693877 "," 0.9183673469387755 "," 0.9693877551020408 "," 1.0 "," 0.90625 ",0,42," 0.2653061224489796 "," 0.9693877551020408 "," 0.9344262295081968 "," 0.9693877551020408 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.12244897959183673 ",1,2,0,0,7,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.30612244897959184 "," 0.7857142857142857 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",5,35," 0.2857142857142857 "," 0.9183673469387755 "," 0.8 "," 0.8469387755102041 "," 1.0 "," 1.0 ",6,47," 0.32653061224489793 "," 0.9285714285714286 "," 0.7777777777777778 "," 0.8469387755102041 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.11224489795918367 ",1,2,0,0,7,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,8,0,1,2,0,0,1,4,0,0,0,0,0,0,0,0,3,4,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.22448979591836735 "," 0.9081632653061225 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",7,18," 0.22448979591836735 "," 0.9591836734693877 "," 0.9591836734693877 "," 0.9387755102040817 "," 1.0 "," 1.0 ",0,33," 0.22448979591836735 "," 0.9693877551020408 "," 0.8571428571428571 "," 0.9387755102040817 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.07142857142857142 ",1,2,0,0,8,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,4,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.30612244897959184 "," 0.8571428571428571 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",1,36," 0.2857142857142857 "," 0.9387755102040817 "," 0.7868852459016393 "," 0.9183673469387755 "," 1.0 "," 1.0 ",12,29," 0.32653061224489793 "," 0.9183673469387755 "," 0.98 "," 0.9183673469387755 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.1326530612244898 ",1,2,0,0,7,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.3877551020408163 "," 0.8673469387755102 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",0,29," 0.40816326530612246 "," 0.9795918367346939 "," 0.9215686274509803 "," 0.9693877551020408 "," 1.0 "," 1.0 ",2,44," 0.3673469387755102 "," 0.9897959183673469 "," 0.8163265306122449 "," 1.0 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.02040816326530612 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.3163265306122449 "," 0.6428571428571429 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",6,22," 0.32653061224489793 "," 0.9489795918367347 "," 0.6530612244897959 "," 0.6632653061224489 "," 1.0 "," 1.0 ",0,21," 0.30612244897959184 "," 0.8979591836734694 "," 0.6363636363636364 "," 0.6632653061224489 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.061224489795918366 ",1,2,0,0,8,1,2,1,0,0,0,4,0,0,0,0,0,0,0,0,8,0,1,1,0,0,2,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,4,2,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.32653061224489793 "," 0.7448979591836735 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",4,37," 0.3877551020408163 "," 0.9489795918367347 "," 0.8571428571428571 "," 0.7653061224489796 "," 1.0 "," 0.975 ",7,41," 0.2653061224489796 "," 0.9591836734693877 "," 0.6226415094339622 "," 0.7653061224489796 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.11224489795918367 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,5,0,0,0,0,0,5,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.3163265306122449 "," 0.8673469387755102 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",6,46," 0.3469387755102041 "," 0.9081632653061225 "," 0.9298245614035088 "," 0.8877551020408163 "," 1.0 "," 1.0 ",8,35," 0.2857142857142857 "," 0.9591836734693877 "," 0.7818181818181819 "," 0.8877551020408163 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.14285714285714285 ",1,2,0,0,8,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,8,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,4,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.3469387755102041 "," 0.8571428571428571 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",0,44," 0.3469387755102041 "," 0.9693877551020408 "," 0.8367346938775511 "," 0.9693877551020408 "," 1.0 "," 1.0 ",0,40," 0.3469387755102041 "," 0.9897959183673469 "," 0.8775510204081632 "," 0.9795918367346939 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.0 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
