success ; initial_sync_agreement ; final_sync_agreement ; i_amail_sync_agreement ; f_amail_sync_agreement ;initial_diac_agreement_1 ; final_diac_agreement_1 ; e_count_1 ; g_count_1 ; l_ini_sync_1 ; i_cover_1 ; l_fin_sync_1 ; f_cover_1 ; initial_diac_agreement_2 ; final_diac_agreement_2 ; e_count_2 ; g_count_2 ; l_ini_sync_2 ; i_cover_2 ; l_fin_sync_2 ; f_cover_2 ; strategy ; domain ; threshold ; abui_t ; iterations ; nb_examples ; nb_concerned ; concerned_rt ; redundancy ; exch_ratio ; nb_overlap ; nb_hyponym ; nb_synonym ; nb_homonym ; i_total ; i_self ; i_overlap ; i_hypohyper ; i_syn ; i_hom ; i_blind ; i_un ; f_total ; f_self ; f_overlap ; f_hypohyper ; f_syn ; f_hom ; f_blind ; f_un ; i_total_1 ; i_self_1 ; i_overlap_1 ; i_hypohyper_1 ; i_syn_1 ; i_hom_1 ; i_blind_1 ; i_un_1 ; f_total_1 ; f_self_1 ; f_overlap_1 ; f_hypohyper_1 ; f_syn_1 ; f_hom_1 ; f_blind_1 ; f_un_1 ; i_total_2 ; i_self_2 ; i_overlap_2 ; i_hypohyper_2 ; i_syn_2 ; i_hom_2 ; i_blind_2 ; i_un_2 ; f_total_2 ; f_self_2 ; f_overlap_2 ; f_hypohyper_2 ; f_syn_2 ; f_hom_2 ; f_blind_2 ; f_un_2 ; initial concepts ; expected concepts ; observed concepts ; ft_number ; m_sort_size ; sd_sort_size ; m_id_size ; sd_id_size ; m_gen_size ; sd_gen_size ; shared_ft ; dimensions
1 ; 0.28125 ; 0.7708333333333334 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 11 ; 26 ; 0.2916666666666667 ; 0.8958333333333334 ; 0.7758620689655172 ; 0.875 ; 1.0 ; 1.0 ; 10 ; 35 ; 0.2708333333333333 ; 0.9375 ; 0.6896551724137931 ; 0.875 ; EXT ; NC ; 8 ; 0.75 ; 10 ; 100 ; 96 ; 0.96 ; 0 ; 0.20833333333333334 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 4 ; 3 ; 12 ; 4.0 ; 1.0 ; 2.0 ; 1.0 ; 2.0 ; 1.0 ; 0 ; [[4, 3], [3, 2, 1], [1]]
1 ; 0.25 ; 0.8541666666666666 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 5 ; 30 ; 0.16666666666666666 ; 1.0 ; 0.7142857142857143 ; 1.0 ; 1.0 ; 1.0 ; 1 ; 31 ; 0.3333333333333333 ; 0.9375 ; 0.9433962264150944 ; 0.9375 ; EXT ; NC ; 8 ; 0.75 ; 10 ; 100 ; 96 ; 0.96 ; 0 ; 0.0625 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 4 ; 3 ; 12 ; 4.0 ; 1.0 ; 2.0 ; 1.0 ; 2.0 ; 1.0 ; 0 ; [[4, 3], [3, 2, 1], [1]]
1 ; 0.3229166666666667 ; 0.90625 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 11 ; 29 ; 0.3333333333333333 ; 0.9166666666666666 ; 0.96 ; 0.9479166666666666 ; 1.0 ; 1.0 ; 2 ; 43 ; 0.3125 ; 0.9479166666666666 ; 0.864406779661017 ; 0.9479166666666666 ; EXT ; NC ; 8 ; 0.75 ; 10 ; 100 ; 96 ; 0.96 ; 0 ; 0.13541666666666666 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 4 ; 3 ; 12 ; 4.0 ; 1.0 ; 2.0 ; 1.0 ; 2.0 ; 1.0 ; 0 ; [[4, 3], [3, 2, 1], [1]]
1 ; 0.3854166666666667 ; 0.5 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 2 ; 21 ; 0.4166666666666667 ; 0.9583333333333334 ; 0.4375 ; 0.5416666666666666 ; 1.0 ; 1.0 ; 0 ; 24 ; 0.3541666666666667 ; 0.9270833333333334 ; 0.56 ; 0.5416666666666666 ; EXT ; NC ; 8 ; 0.75 ; 10 ; 100 ; 96 ; 0.96 ; 0 ; 0.020833333333333332 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 0 ; 1 ; 1 ; 0 ; 0 ; 2 ; 4 ; 3 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 2 ; 12 ; 4.0 ; 1.0 ; 2.0 ; 1.0 ; 2.0 ; 1.0 ; 0 ; [[4, 3], [3, 2, 1], [1]]
1 ; 0.3333333333333333 ; 0.8854166666666666 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 3 ; 48 ; 0.3333333333333333 ; 0.9895833333333334 ; 0.8679245283018868 ; 0.96875 ; 1.0 ; 1.0 ; 5 ; 44 ; 0.3333333333333333 ; 0.96875 ; 0.8823529411764706 ; 0.9479166666666666 ; EXT ; NC ; 8 ; 0.75 ; 10 ; 100 ; 96 ; 0.96 ; 0 ; 0.08333333333333333 ; 1 ; 2 ; 0 ; 0 ; 9 ; 2 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 1 ; 0 ; 3 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 5 ; 3 ; 12 ; 4.0 ; 1.0 ; 2.0 ; 1.0 ; 2.0 ; 1.0 ; 0 ; [[4, 3], [3, 2, 1], [1]]
1 ; 0.28125 ; 0.5833333333333334 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 0 ; 16 ; 0.22916666666666666 ; 0.9895833333333334 ; 0.5 ; 0.6145833333333334 ; 1.0 ; 1.0 ; 0 ; 18 ; 0.3333333333333333 ; 0.8958333333333334 ; 0.6666666666666666 ; 0.6145833333333334 ; EXT ; NC ; 8 ; 0.75 ; 10 ; 100 ; 96 ; 0.96 ; 0 ; 0.0 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 1 ; 0 ; 3 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 5 ; 2 ; 12 ; 4.0 ; 1.0 ; 2.0 ; 1.0 ; 2.0 ; 1.0 ; 0 ; [[4, 3], [3, 2, 1], [1]]
1 ; 0.3020833333333333 ; 0.9479166666666666 ; 0.0 ; 0.0 ; 1.0 ; 0.9729166666666667 ; 8 ; 55 ; 0.3125 ; 0.9583333333333334 ; 0.9259259259259259 ; 1.0 ; 1.0 ; 1.0 ; 6 ; 50 ; 0.2916666666666667 ; 0.9791666666666666 ; 0.9642857142857143 ; 1.0 ; EXT ; NC ; 8 ; 0.75 ; 10 ; 100 ; 96 ; 0.96 ; 0 ; 0.14583333333333334 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 3 ; 12 ; 4.0 ; 1.0 ; 2.0 ; 1.0 ; 2.0 ; 1.0 ; 0 ; [[4, 3], [3, 2, 1], [1]]
1 ; 0.2916666666666667 ; 0.5833333333333334 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 0 ; 23 ; 0.25 ; 0.9375 ; 0.64 ; 0.5833333333333334 ; 1.0 ; 1.0 ; 2 ; 23 ; 0.3333333333333333 ; 0.9375 ; 0.5416666666666666 ; 0.5833333333333334 ; EXT ; NC ; 8 ; 0.75 ; 10 ; 100 ; 96 ; 0.96 ; 0 ; 0.020833333333333332 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 2 ; 12 ; 4.0 ; 1.0 ; 2.0 ; 1.0 ; 2.0 ; 1.0 ; 0 ; [[4, 3], [3, 2, 1], [1]]
1 ; 0.2708333333333333 ; 0.8645833333333334 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 6 ; 54 ; 0.25 ; 0.9791666666666666 ; 0.8448275862068966 ; 0.90625 ; 1.0 ; 1.0 ; 10 ; 49 ; 0.2916666666666667 ; 0.90625 ; 0.8518518518518519 ; 0.9479166666666666 ; EXT ; NC ; 8 ; 0.75 ; 10 ; 100 ; 96 ; 0.96 ; 0 ; 0.16666666666666666 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 2 ; 1 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 3 ; 12 ; 4.0 ; 1.0 ; 2.0 ; 1.0 ; 2.0 ; 1.0 ; 0 ; [[4, 3], [3, 2, 1], [1]]
1 ; 0.17708333333333334 ; 0.6979166666666666 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 3 ; 37 ; 0.1875 ; 0.90625 ; 0.6666666666666666 ; 0.8020833333333334 ; 1.0 ; 1.0 ; 12 ; 37 ; 0.16666666666666666 ; 0.9166666666666666 ; 0.7254901960784313 ; 0.8020833333333334 ; EXT ; NC ; 8 ; 0.75 ; 10 ; 100 ; 96 ; 0.96 ; 0 ; 0.15625 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 6 ; 3 ; 12 ; 4.0 ; 1.0 ; 2.0 ; 1.0 ; 2.0 ; 1.0 ; 0 ; [[4, 3], [3, 2, 1], [1]]
1 ; 0.2604166666666667 ; 0.9166666666666666 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 13 ; 53 ; 0.3333333333333333 ; 0.9270833333333334 ; 0.9272727272727272 ; 0.9583333333333334 ; 1.0 ; 1.0 ; 7 ; 66 ; 0.1875 ; 0.96875 ; 0.8833333333333333 ; 0.9583333333333334 ; EXT ; NC ; 8 ; 0.75 ; 10 ; 200 ; 96 ; 0.48 ; 0 ; 0.19791666666666666 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 7 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 4 ; 12 ; 4.0 ; 1.0 ; 2.0 ; 1.0 ; 2.0 ; 1.0 ; 0 ; [[4, 3], [3, 2, 1], [1]]
1 ; 0.40625 ; 0.9270833333333334 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 7 ; 30 ; 0.4375 ; 0.9479166666666666 ; 0.94 ; 1.0 ; 1.0 ; 1.0 ; 2 ; 50 ; 0.375 ; 0.9583333333333334 ; 0.9090909090909091 ; 1.0 ; EXT ; NC ; 8 ; 0.75 ; 10 ; 200 ; 96 ; 0.48 ; 0 ; 0.09375 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 0 ; 1 ; 1 ; 0 ; 0 ; 2 ; 4 ; 7 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 4 ; 12 ; 4.0 ; 1.0 ; 2.0 ; 1.0 ; 2.0 ; 1.0 ; 0 ; [[4, 3], [3, 2, 1], [1]]
